id,uid,title,score,date,content,,
,,Multiple trips,5,,"Lovely place to wander in, remember your umbrella for the sun as it鈥檚 a large place to wander around. Easy access from the train station.",,
,,Our future can be saved!,5,,"This garden is very very huuuugeee. It will be beneficial to get a map and exploring the entire place is definitely worth it. There will be a lot of walking but you can also pay for shuttle to bring you around. In this place, you would appreciate how important nature takes part in the world and what we can still do to make this place beautiful. Do not settle on just going around the free areas. It's definitely worth exploring the Cloud Dome Forest. Me and my sister got really interested on how it was made and maintained. There's so much information to learn from that area alone. As a whole, I enjoyed this greenery place. Even though it is man-made, it shows how we can really do something build a better world to live in. (I actually thought that at the end of the world, the people in the Cloud Dome Forest will be the only one to survive! Hahaha)",,
,,Exceeded expectations,5,,"A 10 min walk from Marina Bay Sands. I was initially bit apprehensive about it. But as soon as you enter it will blow your mind. I mean it's so good and refreshing. Cloud forest is another highlight. Must spare atleast 2 hours to view this scintillating place. Great place to click photos.

At the end there's a lil restaurant serving light refreshments. Your trip to Singapore will be incomplete with visiting Gardens by the Bay.

Must visit!!",,
,,Must visit - Awesome green spaces right in the heart of the city,5,,"100 hectares of well laid out green spaces housing trees, and plants from all over the world, water bodies, pleasant walkways and arty sculptures. The Flower Dome maintains a spring time atmosphere with some semi permanent plants. The flowers being changed every few weeks. When we went, the theme was roses - diff types, colours and smells from all over the world. Very pretty to wander around. We also visited the Cloud Forest - another conservatory for tropical / rainforest vegetation and plants. Its cool and damp atmosphere is very fresh and pleasant. Its a wonderful opportunity to see nature from all over the world being well showcased and preserved. Hats off to this imitative by the govt and people of Singapore",,
,,Wonderful place,4,,This place is wonderful to visit and well worth it. You can see all kinds of plants from around the world. Well done Singapore!,,
,,Spectacular,5,,Wasn鈥檛 sure if my teenagers would enjoy this but the gardens are so amazing it鈥檚 difficult not to have a great time. This must be on Singapore to do list,,
,,Wow! Don't miss Gardens by the Bay,5,,"Easy to get to via Marina Bay Sands - a lift and a walkway. We were overwhelmed by the enormity and beauty of these gardens. Could stay all day there with the trolleys, the domes, the lakes, souvenir shop. Just wander around at leisure. We enjoyed a buffet lunch at Marina Bay Sands as well.",,
,,Fantabulously superb,5,,What a place.? No this is not in ironic sense. I am still lingering like what I have seen. Spell bound. Beauty and unparalleled imagination of a person. A beautiful garden where flowers are showcases and never imagined that cactus can be as beautiful as tulips. a man made forest with a grand waterfall where only the beauty is abundant. A place full of photographic locations. Not to be missed the light and sound show in the evening. A person to see must come in second half with around four to five hours of time to spend.,,
,,Fantastic,5,,Wonderful experience. Gardens By The Bay did not disappoint us. The Children's Garden was full of fun for my children. The Cloud Forrest and Flower Dome were beautiful. Satay By The Bay food was good. We had a great time. Will definitely recommend my friends and relatives to visit this place when they visit Singapore.,,
,,lovely little walk around. very beautiful,5,,"you pay for a ticket at the ticketing counter near the entrance. from memory, 28$ each for 2 enclosures.
both beautiful and veeeeery well kept, they must spend a lot of time looking after every plant.
wear comfy shoes as there is a lot to walk around. the cloud dome area is super cool (temp wise) as it's very air conditioned and has the big waterfall so go in there for a cool down.
would come back to show others, or if there was a different show to see.",,
,,Wow!,5,,Such an amazing experience. This place is so big and so many to see. Just get lost around and explore the area.,,
,,Good place to take photos,5,,"A great place to take photos with family and enjoy the flowers. Location is convenient. If you want to avoid crowd while taking photos, suggest going early and buying tickets online",,
,,Exceeded our expectations,5,,"We thought this would be good, though it was actually amazing. The Cloud Forest was so worth the token amount you pay to see this place. I highly recommend Gardens by the Bay, everything is done so well, as you come to realise this is the way Singaporeans do things.",,
,,Spectacular Indoor Arboretum,5,,"This is one place that you must see in Singapore. An indoor multi-level arboretum which is created with creative and careful planning. Not only the variety of plants you find here, but also the way they are arranged. An artistry of a very high standard. The ticket is not cheap ($28 per person), but it is worthwhile.",,
,,"Unreal, amazing experience",5,,"This was one of are highlights of Singapore.. the flower dome was amazing, and the supertree grove trees are excellent, especially for the light show, we did not get into see the cloud forest, the wait time was too long, we were on a tour with guide, so i cant comment, but i heard it amazing.. these gardens are a must when in Singapore",,
,,Skip the Flower Dome,4,,"The Cloud Forest is very interesting, but unless you are a generic flower nut, skip the Flower Dome.
The flowers were nice but it isn't awe-inspiring. We have a teenager (15 years old) and we were unimpressed with the Flower Dome. Also, we have terrible allergies and as soon as we stepped in we were congested and our eyes started watering.",,
,,"Peaceful, cool oasis in flower dome and cloud forest.",5,,"Popular, so would advise a morning visit if possible. The train ride is a good idea for orientation and overview, and not expensive. The two domes are climate c controlled, so a perfect escape from humidity. If you are a fan of orchids, the cloud forest is a must!",,
,,Garden by the bay,5,,Nice display of flowers and friendly service staff ! Need more covered walkways or shelters along way to floral fantasy area from the domes area during the day time. Very hot !,,
,,Absolutely Fabulous,5,,"Visited the Cloud Forest, Floral Dome and Skywalk. All of them absolutely stunning with the Cloud Forest being the best. In the evening when the lights are turned on skywalk has a show which must not be missed. A must visit place in singapore.",,
,,Floral Fantasy,5,,"Unlike other GBB attractions like Flower Dome & Cloud Forest, their latest attraction, Floral Fantasy, is much smaller & simpler but, a different concept from the other 2 attractions altogether.
Floral Fantasy was beautifully designed & has quite a few IG worthy scapes to take pictures, despite it's shorter tour which can be completed not more than an hour. To complement it's beautiful scaping, the 4D theatre could bring us to places we can never reach in GBB.
Last but not least, it was a good effort by GBB to allow hourly entrance into FF. This method has effectively controlled the crowd & thus, allowed us to take beautiful IG worthy pictures without much of a hassle!",,
,,Definitely worth the visit!,5,,"If you are an anthophile, you will love this place! A very beautiful place for you to take many pictures as well.",,
,,Always something new garden,5,,"Feast for the eyes - Cherry blossom , tulips , roses - always something fresh and new and well designed - beautiful . The floral fantasy is also A must visit",,
,,Love It!,5,,"Went to Floral Fantasy and everything was so pretty. The colours and all are great for photo taking. Even the 4D ride was fun, didnt know that I can actually smell flowers like this.",,
,,A truly Garden within a City,5,,A place that you must visit in Singapore if you are a tourist and also for locals. Gardens by the Bay have various flower themes all year round for all seasons and all places. It is a wonderful place to relax and enjoy the beautiful flowers and plants from all over the world in one location.,,
,,Cannot miss while you are in Singapore?,5,,"This is one of the best places to be a part of your itinerary if you are travelling to Singapore. It's a nature park which consists of three gardens. The Flower Dome and Cloud forest are awesome. Flower dome replicates a mild, dry climate and features plants found in the Mediterranean and other semi-arid tropical regions (e.g. parts of Australia, South America, South Africa). The Cloud Forest is higher but slightly smaller at 0.8 hectares (2.0 acres). It replicates the cool moist conditions found in tropical mountain regions between 1,000 metres (3,300 ft) and 3,000 metres (9,800 ft) above sea level, found in South-East Asia, Middle- and South America",,
,,an impressive floral world,5,,"The flowers are very beautiful and colorful. The art of combination of flowers, waterfall and music is wonderful. The view is wide and impressive. I will suggest my friends coming here.",,
,,Its Short but So Refreshing,5,,"I visit Singapore with my pregnant friend a few years ago. We visit Garden by The Bay because of technological advances can bring forests in the city. We are really satisfied to enjoy the atmosphere when we visit this place, this place is cool, comfortable, clean, beautiful and neat. wherever we see everything is shade green. So the summary is, this place is awesome! You can visit this place by MRT: for the cheapest transportation.",,
,,Enchanting,5,,"Gardens by the Bay is quite expansive as a whole (the entirety covers 101 hectares) making budgeting time difficult. I recommend visiting the main attractions which are the two conservatories (Cloud Forest and Flower Dome) and the Supertree Grove.

The Cloud Forest and Flower Dome both require an admission which can be purchased as a package of the two for $28 ($20 for Singapore residents).

The Flower Dome is an extensive display of floral growth from regions around the world, which in turn are subdivided into 8 separate gardens. The majority of the species in the flower dome are endemic only to limited areas.

The Cloud Forest is a replica of the tropical and subtropical mountainous forests that experience frequent cloud cover. Inside the mountain, there are exhibits on endangered species and climate change along with the cloud and treetop walks.

Supertree Grove is an assortment of treelike structures and the OCBC skyway gives a great view of the garden as a whole and the area.

I highly recommend visiting the conservatories and Supertree Grove if you are short on time as it is less time consuming than strolling through the entirety of the park and is fascinating.",,
,,FANTASTIC SITE FOR GARDEN LOVERS,4,,If you love gardens this is a must see. I think we paid 28 dollars for both domes. Try and go late when all the tourist have left. This way you can actually enjoy it with out people yelling and sitting on every flat surface or shoving in front of you to take pictures.,,
,,Unforgettable,5,,"This is a MUST if you are in Singapore, the trees were amazing, the gardens as well but the gardens with waterfalls were unforgettable, great attraction and great service!! Go if you have 2 hours or so...",,
,,Fantastic,5,,Totally worth the visit for so many reasons - the gardens are spectacular and seem to refresh you in the humid environment! The light show at night is also amazing!,,
,,Great light show,5,,We watched the evening music and light show at the gardens. It was very fun and recommend as it is a free event!,,
,,Beautiful lush gardens,5,,"My family enjoyed our time at these gardens. The pathways are lush with trees and plants as well as water features throughout. The two domes were the highlight for us, especially Cloud Forest with its indoor mountain and water falls. We came back later to view the light show which right now has a Toy Story theme. We didn't find that show so interesting, but I'm guessing it was fun for younger children. We do plan to go back to see the other water and laser show they have.",,
,,Excellent Place!,5,,"Its a must visit place.
Be careful to avoid Weekends to avoid rush.
Its a family destination / attraction.
The entry to the park and most attractions inside (scenic beauty) is free.
there are two domes ...one is a Rose Garden equivalent and second is tropical forest equivalent. Both are a treat in itself.
However, i cant comment much about these two as i avoided going inside as it was already a long day and i had other commitments.
Subsequently there is a wonderful lights and sound show.
There are 2 shows ...one each scheduled at 8 & 9 pm ....Both for 15 mins. Worth a watch.
There is a sky walk at the attraction for which you pay about $8 per person. This can be avoided if you are going to MBS Skypark.
It can be avoided otherwise also.
Please do not plan to see the Light and Sound show if you choose to go to the Skywalk....you will miss the entirity of the show. It looks best from the ground.
Lastly there is a restaurant at the top....If you are a couple...can plan for a dinner date here. But Indians ....be ware of the menu...it has limited options which most Indians may or amy not like !",,
,,Man made Gardens can be awesome,4,,"Gardens by the Bay is one of the must visit stops if you come to Singapore.
Another Singapore iconic attraction, Marina Bay Sands, is within walking distance. Both can be covered in one day.

This man made gardens had many critics when it first opened but is now proving to be a major draw.

Major components are Flower Dome and the Cloud Forest. Both charged fees fir admission. Admission to the outdoor gardens and children's garden is free.

The centre piece has to be the Flower Dome,home to the world's largest glass greenhouse. Visitors and residents get to enjoy flowers from all parts of the world in one place.Floral displays change periodically with seasonal themes.",,
,,Absolutely Stunning Must See!,5,,"If there is an 8th wonder of the world, this could be it! These gardens are absolutely stunning, have been well thought out and there are so many little surprises hiding, such as statues, international gardens, wooden animal sculptures, themed areas and a Childrens water play area. You can hire a small cart to tour the park if you dont want to walk in the heat. Inside the Flower Dome and the Cloud Forest are not to be missed. We plan to visit both again any time we come to Singapore. Truly a wonderful experience which changes with flower seasons and special exhibitions. It was a treat for us to be there when the roses were in full bloom May/June.",,
,,Simply Stunning With Exceptional Value For Money,5,,"The gardens were absolutely stunning - we were very surprised to find that the majority of the gardens and the evening light shows were entirely free.

The only areas that required purchase were the sky walk - this provided excellent views of the area and at less than 拢10 were excellent value - and the two air conditioned greenhouses.

Describing these as greenhouses does them a disservice as they are gigantic and filled with a huge variety of plants, butterflies and water features.",,
,,Garden Paradise,5,,This is a beautiful attraction. Visit the floral display and the 4D ride at the end. So much fun I couldn't stop smiling,,
,,A walk in the park,5,,"Most beautiful scenery and clever garden design, spent about 3/4 hours touring the area . Very enjoyable and worth viewing",,
,,"Great to visit, nice garden stroll",5,,Gardens by the bay is in a great location and makes for a very nice afternoon walk around the parkland. There are also some paid activities but heaps to explore free of charge as well,,
,,Beautiful,5,,So many plants thrive in the warm weather of Singapore and the displays here are top class. The gardens are spectacular when viewed at night.,,
,,Beautiful Garden,5,,Beautiful Flowers n Plants. Took a lot of photo in here. Love it. Must prepare with empty memory card n camera batt.,,
,,Major Bougainvillea,5,,"The ambiance here is very relaxing, the plants can relieve stress. The place is also airconditioned.",,
,,Night time laser show,5,,Ok great show. Two shows 1945 and 2045 hours. Well worth the crowds. We arrived by taxi and walked out through marina hotel complex. Just follow crowds to get out.,,
,,Beautiful place,5,,Both gardens are beautiful to walk around in. Take water. Its hot outdoor. But it is worth the price. Go back at night for the light show.,,
,,Really neat.,5,,"I love these urban oases type of places. I went for the light-show in the evening, which was tons of fun. Neat gardens to walk through. I鈥檒l do the flower dome and cloud mountain separately.",,
,,Best exhibits of tulips and orchids,5,,"Used to hold annual pass during tulip exhibition season. Worth visiting to admire the beautiful flowers, cool temperature and floral scents. Favorite exhibits: Tulipmania and Orchid. Go early morning to avoid crowds to take good pictures at the exhibition area.",,
,,"More than we expected, amazing",5,,"It was a very hot day the day we visited, so the AC was very welcome.
There was a tulip festival on when we visited, amazing displays and colours.
Lots of wood carvings throughout the gardens ranging from dragons, rabbits, Alice in wonderland characters - all very impressive.
Definitely worth a visit.",,
,,Fabulous flora in Singapore,5,,We regularly visit Singapore and always make a point of visiting Gardens by the Bay. Superb displays all year round. When we visited there was a rose exhibition in the Flower Dome which was stunning. We also visited the newly opened area Floral Fantasy which was fabulous. Easy access via Bayfront MRT. Only disappointment was the reopened dining area at Supertree Grove which used to be wonderful. Nevertheless a must do when in Singapore. Would highly recommend.,,
,,"Review of Gardens by the Bay, Singapore",5,,"They should list restaurants as well on their sign post maps so they would be so much more easier to locate. Easy to buy fresh flowers, love the idea of aroma perfume by type of wild flowers. T-shirts are on the expensive side but hey, they are meant as tourist souvenirs and I am a local. Those in prams and wheelchairs, and the sick aged are not able to experience the 3D movies where seats vibrate and move in accordance to sounds and thuds from the movie being watched. As such, make sure they have adult company while the rest of your family enjoy their 3D movie first. I think the idea of entry by hour is a smart thing they have, so there is no chance of overcrowding any floral events. Entry by scanning barcode ticket on mobile phone is also very convenient.",,
,,Exquisite Trip!,5,,"The 2 cooled conservatories are amazing, filled with many plants from all over the world, not to mention the water fall in cloud forest! If you are on budget, do also check out the gardens, they have a Garden Rhapsody show every night at the Supertree Groove, find a spot near the garden trails so it is less crowded (basically no people there) to watch the performance! A stroll around the gardens at night is also wonderful!",,
,,Fabulous structures and gardens,4,,"this is a ""must-do"" in Singapore if you have even a little love of plants. The architecture throughout the garden features is amazing - as - of course- are the plantings.",,
,,Man made beauty,5,,The cloud forest and flower do me are a must see here. It really amazing how people have built and maintained it. The message of importance of flora and fauna has been delivered beautifully.,,
,,The beautiful Gardens by the bay,5,,Very nice to see at night. You can learn about science and watch out the rhapsody at 7pm where you can see the different colors of the tree.,,
,,"Great Gardens, marvellously manicured",5,,"Whilst you understand that it's all carefully curated, man made, manicured, it really is all very impressive. We did the two biomes, the skywalk (which in usually joined up Singaporel, annoying is ticketed separately to everything else) and easily spent 4 hours meandering- enjoying, learning and loving what we were seeing and experiencing.",,
,,Very enchanting,5,,"If you are a person who enjoys nature and artistic places, this is the place to go. This popular tourist attraction is accesible by bus and mrt, but eating here is not recommended (there is only one mcd and some unknown or fine dining restaurants, the mcd is always crowded). It has two botanic gardens (paid entrance) and a "" ""supertree grove"" which is basically a tall tower that you can go up (paid entrance, not reccomended for people with the fear of heights). But you can just enjoy the scenery and take pictures for free! It's worth it to visit and it is also close to gardens by the bay and merlion, so you can drop by.",,
,,Photographers dream outing,5,,"So much planning was put into this amazing and colourful dome. There such a variety of flowers, shrubs and trees with certain areas dedicated to different countries including Australia. The floral displays and roses were out of this world. Great place for many photographs",,
,,Must visit in Singapore,5,,"Man made, but interesting experience. It is amazing to see the greenery being created in a busy city.",,
,,Beautiful!,5,,"We got to see the beautiful gardens on a partly cloudy day with some steady drizzle when we went up top. I would recommend spending the money to walk the bridge for the views. Also, if you aren鈥檛 staying at the Marina Bay Sands - find your way to the walkway they have connecting them. There is a wonderful view of the entire garden from there (as seen in my photos)! It鈥檚 lit up at night and we got to see a beautiful light show from our balcony.",,
,,"Amazing, a sight to see",5,,Simply an amazing place to visit. Highly recommend the cloud and flower domes. Make sure you stay for the light and sound show in the evening.,,
,,Bloody Amazing !,5,,We鈥檝e seen gardens all over the world but this man-made structure takes the cake. Well worth the entrance fee and the unexpected bonus is that it is all air-conditioned!,,
,,Relaxing place,5,,Very beautiful arrangements of plants and flowers. Not too many people on weekdays. You can easily spend a few hours here and not be bored. Amazing how they maintain the quality of the plants.,,
,,gardens of heaven,5,,This is one of the best exhibitions of greenery I have ever experienced. And the location is great. A must visit.,,
,,Amazing,5,,"Amazing setup and build, the detail and quality and money spent on this park in mind blowing, it鈥檚 a credit the government and the people of Singapore well done.",,
,,Beautiful,5,,"Such an amazingly beautiful park! The floral changes themes very quarterly, this means you can visit thtm 4 x a year. Never fail to disappoint. Always impress me and my friends/guests. But the waterfall at The Cloud remains my favourite",,
,,A must if visiting Singapore. Absolutely beautiful,5,,"There is so much to see here. From the indoor gardens, kids water area, ponds, water features, tree top walk, view of the marina bay sands and so much more.
The walkway in the alien like trees is well worth the minimal fee as the views are wonderful.
It鈥檚 worth visiting during the day and night as it鈥檚 so different. Access into the grounds is free. With admission prices from the main domes and. Walkway at addition costs.
With cafes, and food options available too plus free WiFi.",,
,,Fabulous light show,4,,"My husband and I went back to Gardens by the Bay as we had been there earlier in the day, but due to lighting being about couldn鈥檛 go on the Skywalk as close it then when lightning in the area.
So after our wonderful day looking at trees and plants which were fantastic, we ended back in time for the light show and our Skywalk.
It couldn鈥檛 have been better we were on the Skywalk while the light show was on, it just added to the fabulous day we had had.
Thank you so much Gardens by the Bay and to Alex who works there in the glass conservatory you were great and so knowledgable and when he couldn鈥檛 answer one of my questions about the Parrot tulips he made a phone call and I spoke to someone else who answered.. thank you so, so much.",,
,,Flower dome was beautiful,5,,The flower and forest dome was way too beautiful. Unfortunately our phone died that lead to captures for the day. No restrictions for photo taking. Clean and greenery. Flowers are all watered daily everything is so fresh. Will visit again. Staffs were friendly and helpful,,
,,Garden by the Bay (Flower Dome and Cloud Forest),5,,"I will visit again for another flower Theme for sure! I visited during the Tulip Season, and it was so pretty and awesome!",,
,,A must visit,5,,The Gardens are amazing and the stroll is worth. Go roam around and see n feel the variety housed in a single place. Both the domes are well maintained and have a amazing look in night.,,
,,Beautiful,5,,"This is a must visit place. Very beautiful and attractive. On weekends get crowded. 745 and 845 laser light show which is very good.

Flower dome and cloud forest is great place which is located close to each other. Recommended to visit flower dome before sunset and then visit cloud forest. We enjoyed cloud forest it has water fall. Very sceneries.

Must visit place.",,
,,The best tourist attraction til. In Singapore,5,,"This is a must see when visiting Singapore. The cloud and flower dome are just beautiful. We spent the entire morning in the two domes.
You need a full day to cover the grounds. We will go back another time to visit the rest. I highly recommend visiting.",,
,,Great value,5,,"Gorgeous, gorgeous, gorgeous! We stumbled in looking to kill some tome and ended up spending the whole afternoon wondering around. Beautiful presentations and thoughtful layouts mean there鈥檚 so much to see and explore. Best money spent!",,
,,Last day in Singapore,5,,We had planned to visit at night to see it all lit up but unfortunately the weather was stormy so we decided not to go. We went the next day and found the gardens quite spectacular. The flowers were amazing and we especially loved the orchids. The waterfall was very good too. If you are visiting Singapore this should definitely be on your list of places to visit. The gardens were great even without the lights,,
,,A must see - only place like it in the world,5,,"Our trip to Gardens by the Bay was the highlight of our days in Singapore. It's truly a world class attraction, unlike any other botanical garden I've ever encountered. It's divided into two major wings - the Cloud Forest and the Flower Dome.

Cloud Forest is its own self-contained ecosystem and a masterwork in landscape architecture - you often find yourself wondering where the artistry of God and nature begins and the art of man begins. The Flower Dome renders all of the world's different flower kingdoms before the visitor, with impressive setting and backgrounds to match.

The light show in the Supertree Garden is not to be missed; the arbor of metal puts on a symphonic light show to set off an evening in Singapore. Easily the highlight of our two weeks in Southeast Asia and worth every penny.",,
,,Fabulous location for a visit,5,,As a lover of gardens this was just beautiful. We enjoyed both inside and outside and could have spent much more time exploring all of the gardens. We were here about 4 hours and had lunch as well.,,
,,Wonderful Plantings,4,,"A full day is needed to visit all the features at Gardens By the Bay in Singapore. We also enjoyed a lovely meal at midday then a walk to the Tree Walk (closed due to dark clouds). We walked to the Cloud Forest and had a fantastic time admiring plants from everywhere while being up as high as the top of a forest canopy. Afternoon Tea at the Pollen cafe was a little expensive but needed after the walking through both Flower Dome and Cloud Forest. Back to try the walk at Trees - again closed due to 'dark clouds' this was all from 1pm to 4pm. We decided that to sit 3 hours and wait for the light and sound show was a bit futile so left disappointed. By the way, it didn't rain till 5.30pm!",,
,,Gardens By The Bay,4,,Have been to Gardens By The Bay twice. First time during the day second time late afternoon and stayed for the light show. If you want to go through the domes pre purchase tickets on line to avoid queuing. These are well worth viewing. If you want to just see the light show and the gardens outside the domes no ticket is required entry is free. The starting time of the show depends on time of year.,,
,,Incredible,5,,"We spent time in Cloud Forest & Flower Dome. Spectacular, beautiful, nice temperature inside, children should wear a sweater if going inside.
However the temperature outside is very hot, it's better to come into 2 Domes at the late afternoon & then come out at 7.30pm to watch the light show.",,
,,Light show,4,,"Didn't visit the domes, just went to have a look around and see the light show. No charge for the light show which was 15 minutes long and quite good",,
,,Just increadible,5,,"We spent a couple of hours here, incredible experience the things that are created in Singapore cannot be overstressed.",,
,,Spectacular place to visit,4,,We timed our visit for the evening light show with accompanying music. Well worth experiencing to see the huge artificial 鈥渢rees鈥?illuminated by the light show. The hawker food outlets on the edge of the grounds are an interesting experience too.,,
,,Variety of things to see and do.,4,,"I visited the Gardens by the Bay during the day, as I didn't have a night time free.
Walking through the Flower Dome was lovely, very peaceful. The Cloud Dome also fantastic, and the walkway was great.
I would love to go back and see it at night with the lights, I imagine it would be spectacular",,
,,The crown jewel of Singapore.,5,,"This park with 101 hectares of land area is a reclaimed land in central Singapore. This is Gardens by the Bay, a magnificent oasis teeming with spectacles and delights. You can find leisure and recreational activities, educational programs and tours at these gardens. What鈥檚 more, a visit here lets you get in touch with nature.

There are a lot of attractions in the Gardens by the Bay, all you need is to choose which one will suit your taste. This is also great for family bonding, date for two and a connection among your circle of friends.",,
,,Awesome .... and cool !,5,,Great activity to do during the heat of the day. Both domes were spectacular and definitely worth a visit. Crowds move freely around and plenty of things to see.,,
,,Surprisingly brilliant,5,,"We called in on a 12 stopover. Easy taxi ride from airport and the Gardens were like a double shot espresso of inspiration and interest. 800 year old olive trees set beside huge date palms in perfect reproduction of middle eastern gardens, then 30 metres away a stunning rose bed. The highlight was a walk through orchid garden at nose height for a full olfactory blast. This garden is a must visit. So good.",,
,,beautiful place like heaven,4,,colorful with many flower variances. many people there to take pictures. it is suggested to arrive there before luncuh time so yo will have spent more space to take nice picture wihtout crouded people walked around.,,
,,Green gardens galore!,5,,What an unexpected delight. We attended during 鈥渞oses鈥?month. Both major conservatories are fully air conditioned and decided to hang around for the light show. Spectacular is the descriptor that comes to mind. Despite a fairly long wait for a show that runs for only 15 minutes I have to say it was all worth while.,,
,,A must see,5,,An amazing attraction showcasing plants and trees from around the world. Perhaps slightly 鈥榦ut of this world鈥?but well worth the ticket price to spend half a day. Lovely and cool inside the domes and an excellent lunch at the mini hawker market.,,
,,Gardens by the Bay,5,,"We spent a nice day here despite the thunderstorm.
My advice would be to wear thongs and take disposable raincoats . Shuttle buses could be accessed if desired for a small fee.
Roses were the feature . It was very colourful , and well maintained.
We also went into the cloud dome and thought this was amazing, with its 7 floor indoor waterfall. Misting occurred whilst we were there and this was our favourite",,
,,"Pretty walk, but Singapore has better",3,,"The visit is compulsory even if just to see the electric trees... One of the very few locations actually in Singapore in Crazy Rich Asians!
The gardens are nice for a stroll but that is about it. If it is too hot, go to the Botanical Gardens, much cooler.
We were wrong to think there was only one entrance, you can access it through the main entrance or though another one by the Marina Bay Sands.",,
,,What an Amazing Place!,5,,"We loved wandering the gardens in the day, but in the night the gardens come into their own! What an amazing place! We visited the gardens on three different occasions, and managed to squeeze in another visit before leaving Singapore! The cloud garden is exceptional and we completed visited it twice. The range of flowers in the flower dome are amazing. I can't wait to visit again!",,
,,Space Trees are awesome!,4,,"Hello Traveller,

Welcome to the corner of my mind. I must gently say, with profound enthusiasm that the Space Trees will take you to the moon. They have a show at night where the trees dash and flash lights to music. We went on disco night and my husband danced like he never had! Never have I seen him let loose like that! Seriously, the space trees will take you there!!!",,
,,Beautiful place,5,,If you love flowers and greenery you will definitely like different variety of flowers and plants over here....we loved it.There are wheelchairs available at the entrance for 2 dollars for those with mobility problem.,,
,,A must,4,,"Its so fun and cozy to walk around this well planned botanical garden. I would advice to come here in lunch time hour. Start your visit by stroll around The Shoppes. Then around 4 pm,start your walk to the garden. The garden is divided into 2, the free section and the entrance fee section. Both section always filled with visitors. For any visitors that brought kids stroller, I would advise you guys to avoid the entrance fee section because its not so stroller friendly and the path inside tend to be crowded. Its better to enter the garden from the The Shoppes rather than direct from Bayfront mrt.",,
,,Check if skyway opens before you go,4,,"We came to visit and got into one of the garden conservatory. There were beautiful orchids, roses, and many type of tropical flowers. The flowers were beautiful! We also watched a 4D movie. It feels like a tourist attraction because they are all man made. It was raining in the morning. They closed the skyway because of the weather. Make sure you check before you come.",,
,,A must see whilst in Singapore!,5,,"I am a travel advisor and even though I was unable to use my OCBC Sky walk ticket due to the weather I had a lovely time going through the gardens as well as the flower Dome, Cloud Forest and Floral Fantasy. I don't think I have ever seen anything so beautiful in my life. Everything is so well thought out at Gardens by the Bay and I know they will be adding more gardens. When Singapore does something they do it well, with passion and love. You cannot go to this country without visiting Gardens by the Bay! I already recommend this to all of my customers but now I have been they will surely know this is a must see, I have plenty of photo's and video's!",,
,,Fascinating and aromatic,5,,Great stuff. Love the smells when I first entered and the 4D ride is amazing. Guess it would be better for shorter queues for the ride.,,
,,Great place!,5,,"Clean, cooling, well maintained. Kids get to see different plants instead of just seeing it from the book.

Occasionally there鈥檚 some flower exhibitions. It鈥檚 quiet and spacious at the flower area.

The cloud forest section gives a feeling of being inside a forest.

Bring a cardigan for young children. It can get quite chilly.",,
,,Good place to visit whatever the weather,4,,We visited on a terrible day weather wise and found the greenhouses an excellent place to visit in the rain. Allow approx 1 hour for each of the large greenhouses.,,
,,Nice flower arrangement. Very beautiful,5,,"Visited the Floral Fantasy for the first time. It is the latest and newly opened flower dome, and it is really beautiful. Lots of different types of flowers, some are quite rare. The 4d show is a huge catch for children. And the hanging flower balls are really impressive.",,
,,Great attraction in Singapore but creepy baby sculpture!,4,,"Singapore is a very modern city, and to balance this out, these gardens by the bay offer a welcome nature-break. Beautifully designed and a fun light-show every evening, well worth a visit for a nice low key stroll - best time probably late afternoon going into dusk to catch the gardens in the daylight then the skywalk & lightshow. Be warned however, there is a very strange and creepy male baby sculpture which is quite out of place and a bit disturbing!",,
,,Gift shop at visitor center,5,,"Ive been to the Gardens countless times and I always enjoyed the visit. The conduct of staff at both Domes, the MacDonalds and the shuttle service is exemplary. However I feel let down by the staff at the gift shops especially the one at the Visitor Center. Tourists see anyone in uniform as representation of this renown world class garden. Therefore all staff then should be cordial, welcoming and helpful. On one occassion i happen to chance on a mother with a child in tow and a baby in pram trying to exit the gift shop. She had trouble keeping the glass door open for her exit with the pram and child in tow. No staff came forward. I think they are more worried about their items being broken or stolen! They tend to behave more like curators of museum relics!",,
,,"no clear signboard at mrt point to floral fantasy, please improve on the signboard",1,,"no clear signboard at mrt point to floral fantasy, we went to flower dome & need take the $3 shuttle train back to mrt again",,
,,Always finds interesting,5,,Garden by the way (GBTW) always has something new to offer and mesmerises with abundance of flora and fauna!,,
,,Superb,4,,Must visit these gardens if you are in Singapore. Both Flower dome and Cloud Forest are worth spending time. Amazing supertree grove and sky walk is a treat to your eyes,,
,,Spectacular,5,,Make sure you set aside a day for this. Just stunning and so much to explore. Really worth paying to see the two conservatives. Loved loved the cloud forest.,,
,,Worth the hype!,5,,"These gardens are beautiful and worth the visit. This is great for couples, families or just by yourself. All of this area is very accessible also.",,
,,Blown away,5,,Even if you're not a gardener this place will blow you away. If you are short on time Cloud Dome is the better of the two domes so dont miss that one. The trees are pretty spectacular as well even when they are not lit up. If you are going after dark take some insect repellent as there are mozzies around.,,
,,Beautiful flowers and long walk.,4,,"Strictly for flowers lovers. Good for couple dating as well. Ensure to bring cardigan or shawl to wrap yourself with it, the dome is extremely cold. It takes you more than 3 hours to walks the entire place. Not really a place to visit for small children.",,
